Date,Title,Sentiment,Source
13/02/2025,"Samsung MicroSD Memory Card Drops Nearly 50% in Price, Perfect for Nintendo, Android, GoPro, and More",0.5333,News API
14/02/2025,Beats Solo 4 Wireless Headphones Just Got a 50% Price Cut for Amazon’s Presidents’ Day Sale,0.0,News API
14/02/2025,You can get a 55-inch Hisense U7 for under $500,0.0,News API
14/02/2025,Trump Taps Former Amazon Exec to Oversee Worker’s Safety on the Job,0.0,News API
14/02/2025,Amazon’s killing a feature that let you download and backup Kindle books,0.0,News API
14/02/2025,"Bose QuietComfort Ultra Headphones Just Got a Presidential Price Cut, $150 Less Than AirPods Max",-0.1667,News API
14/02/2025,"The 2nd Gen Apple Watch SE Just Hit Its Lowest Price in Two Months, Only $169 for Presidents’ Day",0.0,News API
15/02/2025,Amazon’s revamped Alexa might launch over a month after its announcement event,0.0,News API
15/02/2025,Elden Ring Nightreign is already up for preorder with a $10 gift card,0.0,News API
15/02/2025,Amazon workers vote against unionizing a North Carolina warehouse,0.0,News API
17/02/2025,"The M2 Apple MacBook Air Is $400 Off on Amazon for Presidents’ Day, Its Lowest Price Ever",0.0,News API
17/02/2025,Amazon Just Marked Down ASUS Portable Monitor to Its Best Price in Months for Presidents’ Day,0.3148,News API
17/02/2025,"Shark FlexStyle Air Styling and Drying System Is Now 3x Cheaper Than Dyson Airwrap, and It’s Outselling It",0.0,News API
18/02/2025,Amazon scraps its TikTok-style Inspire feed,0.0,News API
18/02/2025,"One of Garmin’s Smartest Running Watches Hits Its Lowest Price Ever, Just Below $250 on Amazon",0.0,News API
18/02/2025,All of Chipolo’s Bluetooth trackers are discounted in sitewide sale,0.0,News API
19/02/2025,"The Anker MagGo 8-in-1 Charging Station Drops to Its Lowest Price Ever, Charge Everything in One Place",0.0,News API
19/02/2025,"This Logitech HD Webcam Hits Its Lowest Price, Over 10K Sold in Recent Months on Amazon",0.0,News API
19/02/2025,Eero announces its new Wi-Fi 7 line-up,0.1364,News API
19/02/2025,"Crucial X9 Pro Portable SSD Is Back in Stock at Its Lowest Price, a Speed Demon for Content Creators and Gamers",0.0,News API
20/02/2025,Amazon is shutting down its third-party Android app store,-0.1556,News API
20/02/2025,Jeff Bezos Is Already Soliciting Ideas for the Next James Bond,0.0,News API
20/02/2025,How an American takeover could change James Bond forever,0.0,News API
20/02/2025,Amazon will suspend support for its Appstore on Android,0.0,News API
20/02/2025,Amazon To Shut Down Chime Communications Platform in 2026,-0.1556,News API
20/02/2025,Amazon Surpasses Walmart in Revenue For First Time,0.25,News API
21/02/2025,"Neighbours cancelled again, two years after revival",0.0,News API
21/02/2025,Amazon's investments in Anthropic are now worth a cool $14 billion,0.325,News API
23/02/2025,Amazon abandoning its Appstore only makes Google's lock stronger,0.0,News API
